,Brand,model,year,km_driven,fuel,seller_type,transmission,owner,selling_price
0,Maruti,800 AC BSII,1992,100000,Petrol,Individual,Manual,Fourth & Above Owner,50000
1,Maruti,Gypsy E MG410W ST,1995,100000,Petrol,Individual,Manual,Second Owner,95000
2,Mahindra,Jeep MM 540,1996,60000,Diesel,Individual,Manual,First Owner,200000
3,Mahindra,Jeep CL 500 MDI,1996,35000,Diesel,Individual,Manual,Second Owner,250000
4,Maruti,800 Std,1997,80000,Petrol,Individual,Manual,Second Owner,50000
5,Maruti,Esteem AX,1997,70000,Petrol,Individual,Automatic,First Owner,79000
6,Mahindra,Jeep CL 500 MDI,1997,120000,Diesel,Individual,Manual,Third Owner,150000
7,Maruti,800 Std,1998,40000,Petrol,Individual,Manual,Fourth & Above Owner,40000
8,Maruti,800 Std,1998,40000,Petrol,Individual,Manual,Fourth & Above Owner,40000
9,Maruti,Zen LX,1998,70000,Petrol,Individual,Manual,Third Owner,42000
10,Maruti,Zen LX,1998,70000,Petrol,Individual,Manual,Third Owner,42000
11,Maruti,Omni 5 Str STD LPG,1998,35000,LPG,Individual,Manual,Second Owner,50000
12,Maruti,800 Std,1998,80000,Petrol,Individual,Manual,Fourth & Above Owner,55000
13,Maruti,Omni 5 Str STD,1998,60000,Petrol,Dealer,Manual,Third Owner,65000
14,Maruti,Zen LXI,1998,70000,Petrol,Individual,Manual,Second Owner,69000
15,Maruti,Zen LXI,1998,120000,Petrol,Individual,Manual,Second Owner,80000
16,Honda,City 1.3 EXI,1998,120000,Petrol,Individual,Manual,Second Owner,85000
17,Mercedes-Benz,E-Class 230,1998,35000,Petrol,Individual,Automatic,Second Owner,1000000
18,Mercedes-Benz,E-Class 230,1998,35000,Petrol,Individual,Automatic,Second Owner,1000000
19,Maruti,800 Std,1999,50000,Petrol,Individual,Manual,Third Owner,45000
20,Hyundai,Santro GLS I - Euro I,1999,120000,Petrol,Individual,Manual,Second Owner,50000
21,Maruti,800 AC,1999,100000,Petrol,Individual,Manual,Second Owner,50000
22,Maruti,Esteem VX,1999,35000,Petrol,Individual,Manual,Second Owner,60000
23,Hyundai,Accent GLE 1,1999,90000,Petrol,Individual,Manual,Fourth & Above Owner,60000
24,Maruti,Zen LX,1999,70000,Petrol,Individual,Manual,Fourth & Above Owner,70000
25,Maruti,Zen LX,1999,70000,Petrol,Individual,Manual,Fourth & Above Owner,70000
